4P_Order,Order_date,Shipping_date,Shipping_revenues,Shipping_cost,Carrier Class,TRK,weight,zip,order_total,Ins
43929,2019-08-01,2019-08-01,30.05,36.79,UPS/UPS Ground,1Z1A1V710393496386,4.25,96814,311.05,281
43930,2019-08-01,2019-08-01,37.66,26.15,UPS/UPS Next Day Air,1Z1A1V710192040408,0.75,20902,103.66,66
43931,2019-08-01,2019-08-01,17.28,12,UPS/UPS Ground,1Z1A1V710391397175,1.56,95695,171.28,154
43932,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,90621,68.9,65
43933,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,78704,50.9,47
43934,2019-08-01,2019-08-01,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92342796,1.75,92648,81.09,80
43935,2019-08-01,2019-08-01,21.1,14.65,UPS/UPS Ground,1Z1A1V710393824351,2,37148,174.1,153
43936,2019-08-01,2019-08-01,12.77,8.87,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95859652,2.5,18104,275.77,263
43937,2019-08-01,2019-08-01,10.97,11.59,UPS/UPS Ground,1Z1A1V710397255423,1.69,37043,59.97,49
43938,2019-08-01,2019-08-01,16.69,11.59,UPS/UPS Ground,1Z1A1V710397153793,1.25,20037,125.69,109
43939,2019-08-01,2019-08-01,80.11,12.73,UPS/UPS Ground,1Z1A1V710392222593,13.63,27560,865.51,924
43940,2019-08-01,2019-08-01,40.48,11.59,UPS/UPS Ground,1Z1A1V710396996376,1.69,33625,103.48,63
43941,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,70119,22.9,19
43943,2019-08-01,2019-08-01,12.87,11.86,UPS/UPS Ground,1Z1A1V710395564558,2,83402,125.87,138
43942,2019-08-01,2019-08-01,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,53208,55.9,52
43944,2019-08-01,2019-08-01,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97050333,1.13,16509,111.94,100
