4P_Order,Order_date,Shipping_date,Shipping_revenues,Shipping_cost,Carrier Class,TRK,weight,zip,order_total,Ins
46883,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,85041,43.89,39.99
47054,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,61615,13.89,9.99
47035,2019-08-12,2019-08-12,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710293231341,0.81,33756,56.69,33.98
46826,2019-08-11,2019-08-12,13.44,9.33,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92053769,3.06,53005,194.41,180.97
47147,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,73107,34.49,33.99
47141,2019-08-12,2019-08-12,22.32,15.5,UPS/UPS Ground,1Z1A1V710395637747,0.81,75135,77.32,55
47055,2019-08-12,2019-08-12,12.77,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91472237,1.63,2143,83.73,70.96
46875,2019-08-11,2019-08-12,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96973213,1.81,32812,156.67,144.96
46876,2019-08-11,2019-08-12,15.85,10.67,UPS/UPS Ground,1Z1A1V710392989579,1.88,98281,172.73,156.88
46877,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,34446,23.88,19.98
46878,2019-08-11,2019-08-12,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710293333473,3,28207,42.7,19.99
46879,2019-08-11,2019-08-12,17.63,12.24,UPS/UPS Ground,1Z1A1V710395614119,3.25,55403,172.6,154.97
46880,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710399159097,0.94,75032,64.66,47.97
46881,2019-08-11,2019-08-12,10.31,7.16,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99197673,2.56,30312,115.77,113.98
46884,2019-08-11,2019-08-12,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95681852,1.81,2151,128.91,129.97
46885,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,14620,26.89,22.99
46886,2019-08-11,2019-08-12,12.77,8.87,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98107584,2.25,68516,55.24,49.97
46887,2019-08-11,2019-08-12,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94288655,2,98101,58.08,44.99
46888,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,47725,23.88,19.98
46889,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710398282008,0.5,73160,46.68,29.99
46890,2019-08-11,2019-08-12,46.43,21.04,UPS/UPS Ground,1Z1A1V710396351160,45.31,61761,446.91,444.98
46891,2019-08-11,2019-08-12,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98607641,1.19,77580,97.93,85.99
46892,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,32836,26.89,22.99
46893,2019-08-11,2019-08-12,11.94,7.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90048680,1,75075,55.92,43.98
46894,2019-08-11,2019-08-12,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96896904,3.94,33334,102.82,89.95
46895,2019-08-11,2019-08-12,34.17,23.73,UPS/UPS Ground,1Z1A1V710396515911,43,64501,334.16,299.99
46896,2019-08-11,2019-08-12,23.3,15.95,UPS/UPS Ground,1Z1A1V710398203638,6.38,76049,283.07,259.77
46897,2019-08-11,2019-08-12,16.95,11.77,UPS/UPS Ground,1Z1A1V710390631092,2.06,2467,117.88,100.93
46898,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,91739,37.89,33.99
46899,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,40508,43.89,39.99
46900,2019-08-11,2019-08-12,24.55,17.05,UPS/UPS 2nd Day Air,1Z1A1V710298901046,0.75,79928,74.55,50
46901,2019-08-11,2019-08-12,12.77,8.87,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95262064,2.25,75219,63.75,50.98
46903,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,29841,41.88,37.98
46904,2019-08-11,2019-08-12,11.71,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90264633,2.81,60640,200.71,189
46905,2019-08-11,2019-08-12,16.7,11.6,UPS/UPS Ground,1Z1A1V710396451801,1.31,14626,112.66,95.96
46906,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710396470488,2.75,71302,157.65,140.96
46907,2019-08-11,2019-08-12,10.97,7.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99706756,1.31,37129,45.96,34.99
46908,2019-08-11,2019-08-12,62.38,28.53,UPS/UPS Ground,1Z1A1V710396776818,50.5,2652,539.31,529.92
46910,2019-08-11,2019-08-12,13.44,9.33,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96918612,3.13,75007,70.42,56.98
46911,2019-08-11,2019-08-12,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96139946,1.81,15147,111.71,100
46912,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,92264,13.89,9.99
46913,2019-08-11,2019-08-12,15.67,15.77,UPS/UPS 2nd Day Air,1Z1A1V710298571475,0.81,78754,69.65,53.98
46914,2019-08-11,2019-08-12,18.55,12.88,UPS/UPS Ground,1Z1A1V710395696531,2.25,92057,75.2,62.95
46915,2019-08-11,2019-08-12,15.62,10.85,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93760752,2.44,66067,56.11,44.99
46916,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710397452059,0.88,94114,110.64,93.95
46918,2019-08-11,2019-08-12,18.55,12.88,UPS/UPS Ground,1Z1A1V710395437838,3,94114,68.54,49.99
46919,2019-08-11,2019-08-12,12.12,8.42,UPS/UPS Ground,1Z1A1V710399601787,1.5,10704,79.1,66.98
46920,2019-08-11,2019-08-12,16.7,11.6,UPS/UPS Ground,1Z1A1V710390512738,0.56,72227,66.65,49.95
46921,2019-08-11,2019-08-12,15.15,10.52,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97159824,2.31,49286,187.13,171.98
46922,2019-08-11,2019-08-12,16.7,11.6,UPS/UPS Ground,1Z1A1V710399450735,2,2920,52.65,35.95
46923,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,30324,19.32,13.99
46927,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,95832,20.88,16.98
46924,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,30328,24.71,18.98
46925,2019-08-11,2019-08-12,16.7,11.6,UPS/UPS Ground,1Z1A1V710391661469,0.94,85051,96.68,79.98
46928,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,77095,28.9,25
46929,2019-08-11,2019-08-12,10.41,6.87,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN99113626,0.69,20010,34.38,23.97
46931,2019-08-11,2019-08-12,12.77,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94951044,1.75,49441,147.76,134.99
46932,2019-08-11,2019-08-12,16.7,11.6,UPS/UPS Ground,1Z1A1V710397712965,1.13,2920,58.68,41.98
46933,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.69,75201,65.88,61.98
46934,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,30309,47.4,39.99
46935,2019-08-11,2019-08-12,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99636895,1.19,53715,111.91,99.97
46936,2019-08-11,2019-08-12,11.32,7.86,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94445314,1,89148,63.5,57.98
46937,2019-08-11,2019-08-12,12.28,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97505271,2.69,48045,86.24,73.96
46938,2019-08-11,2019-08-12,10.09,7.01,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96182176,1.56,37421,132.47,135.98
46939,2019-08-11,2019-08-12,17.08,11.86,UPS/UPS Ground,1Z1A1V710394333264,1.13,85208,87.06,69.98
46940,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,46221,122.9,119
46941,2019-08-11,2019-08-12,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97528827,1.44,85715,71.87,59
46942,2019-08-11,2019-08-12,12.41,8.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91008408,1.38,87120,53.77,45.96
46943,2019-08-11,2019-08-12,31.06,21.57,UPS/UPS Ground,1Z1A1V710395672495,51.75,22206,665.91,634.85
46944,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,1605,71.39,74.99
46945,2019-08-11,2019-08-12,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98220415,1.94,14604,143.93,131.99
46946,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,80205,8.89,4.99
46947,2019-08-11,2019-08-12,17.28,12,UPS/UPS Ground,1Z1A1V710396955973,1.5,97239,139.22,121.94
46948,2019-08-11,2019-08-12,22.32,15.5,UPS/UPS Ground,1Z1A1V710398193935,1,16915,101.31,78.99
47056,2019-08-12,2019-08-12,17.28,12,UPS/UPS Ground,1Z1A1V710397745957,1.13,89503,85.23,67.95
46949,2019-08-11,2019-08-12,16.7,11.6,UPS/UPS Ground,1Z1A1V710395758367,1.94,11561,230.68,213.98
46950,2019-08-11,2019-08-12,16.7,11.6,UPS/UPS Ground,1Z1A1V710395656100,0.75,80215,60.69,43.99
46951,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,10011,43.89,39.99
47181,2019-08-12,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710398002140,1.25,31602,74.37,57.97
46952,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,32701,23.88,19.98
46955,2019-08-11,2019-08-12,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97289774,1.63,53598,115.91,103.97
46956,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,2132,16.89,12.99
46957,2019-08-11,2019-08-12,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90973019,1.19,42302,97.7,85.99
46958,2019-08-11,2019-08-12,16.8,11.67,UPS/UPS Ground,1Z1A1V710396666679,8.25,28278,338.62,321.82
46959,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.31,60640,50.9,47
46960,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.88,66801,122.89,118.99
46961,2019-08-11,2019-08-12,12.41,8.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91430595,1.06,80203,54.37,41.96
46962,2019-08-11,2019-08-12,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91600259,1.13,92660,58.06,44.97
46963,2019-08-11,2019-08-12,14.49,10.06,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96607109,4.25,37876,117.42,102.93
46964,2019-08-11,2019-08-12,15.29,10.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92197613,3.06,94607,186.24,189.95
46965,2019-08-11,2019-08-12,12.28,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97968370,2.5,21075,52.24,39.96
46966,2019-08-11,2019-08-12,21.1,14.65,UPS/UPS Ground,1Z1A1V710393997371,0.94,98221,47.08,25.98
46967,2019-08-11,2019-08-12,61.86,58.72,UPS/UPS Ground,1Z1A1V710396980267,101.69,27703,1200.39,632.52
46968,2019-08-11,2019-08-12,11.49,7.98,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95013681,1,92117,40.49,29
46969,2019-08-11,2019-08-12,34.17,23.73,UPS/UPS Ground,1Z1A1V710392037365,43,76010,334.16,299.99
46970,2019-08-11,2019-08-12,13.18,9.15,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99573382,2.81,37772,128.16,114.98
46971,2019-08-11,2019-08-12,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91430942,1.56,99202,111.17,108.98
46972,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,47371,35.38,34.98
47001,2019-08-11,2019-08-12,17.63,11.6,UPS/UPS Ground,1Z1A1V710398885796,1.94,75219,245.62,227.99
46973,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,75218,16.89,12.99
46974,2019-08-11,2019-08-12,48.28,16.21,UPS/UPS Ground,1Z1A1V710395756501,19.63,6108,153.27,104.99
46975,2019-08-11,2019-08-12,14.57,10.12,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96305668,4.31,80203,93.56,78.99
46976,2019-08-11,2019-08-12,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95148090,1.19,61554,97.7,85.99
46977,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710394992481,0.81,94545,62.67,45.98
46979,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710395403598,1.19,60640,64.66,47.97
47189,2019-08-12,2019-08-12,36.84,25.58,UPS/UPS Next Day Air,1Z1A1V710192264953,1.63,77027,129.78,92.94
46980,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,99507,38.87,34.97
46982,2019-08-11,2019-08-12,12.28,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91544383,1.75,23701,143.23,130.95
46983,2019-08-11,2019-08-12,13.44,8.87,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96448120,2.81,19130,111.33,97.89
46984,2019-08-11,2019-08-12,63.46,44.07,UPS/UPS 2nd Day Air,1Z1A1V710295332247,2.44,96793,221.46,158
46985,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,37804,19.89,15.99
46986,2019-08-11,2019-08-12,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95314570,1.44,45217,136.7,124.99
46989,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,33613,37.89,33.99
47024,2019-08-12,2019-08-12,13.44,8.87,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94557122,2.5,10014,102.39,88.95
46987,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,85016,53.88,49.98
46990,2019-08-11,2019-08-12,12.41,8.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97872204,1.63,87109,167.4,154.99
46988,2019-08-11,2019-08-12,10.84,7.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98718843,1,10038,84.82,73.98
46991,2019-08-11,2019-08-12,47.2,21.56,UPS/UPS Ground,1Z1A1V710398300523,49.63,60402,479.19,479.99
46992,2019-08-11,2019-08-12,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95946709,1.19,90247,55.57,49.98
46993,2019-08-11,2019-08-12,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97727997,1.63,7470,119.92,107.98
46994,2019-08-11,2019-08-12,10.09,7.01,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95795015,1.44,30324,75.7,60
46995,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,29388,39.89,39.99
46996,2019-08-11,2019-08-12,14.31,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97703860,2,94590,137.27,122.96
46997,2019-08-11,2019-08-12,73.74,39.49,UPS/UPS Ground,1Z1A1V710395066720,47,95008,488.72,414.98
46998,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,31088,29.04,22.99
46999,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,97211,28.87,24.97
47000,2019-08-11,2019-08-12,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94261772,1.25,2887,89.9,77.96
47002,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710391151297,2.38,47130,147.65,130.96
47003,2019-08-11,2019-08-12,17.88,11.86,UPS/UPS Ground,1Z1A1V710392669665,2,85032,77.84,59.96
47004,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710397164932,0.81,10038,52.65,35.96
47005,2019-08-11,2019-08-12,10.97,7.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99381606,1.19,27410,88.36,85.99
47006,2019-08-11,2019-08-12,53.14,25.46,UPS/UPS Ground,1Z1A1V710390984881,50,2125,518.11,464.97
47007,2019-08-11,2019-08-12,26.6,18.47,UPS/UPS Ground,1Z1A1V710394351244,43,55408,326.59,299.99
47008,2019-08-11,2019-08-12,53.86,37.4,UPS/UPS Ground,1Z1A1V710394656782,43,98188,353.85,299.99
47009,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,78745,68.9,65
47010,2019-08-11,2019-08-12,20.89,14.51,UPS/UPS Ground,1Z1A1V710393160587,8.25,84105,119.8,98.91
47077,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,18103,45.88,41.98
47013,2019-08-11,2019-08-12,11.94,7.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95827552,0.94,11238,67.93,55.99
47011,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.56,70806,47.88,43.98
47012,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710394550994,0.31,36301,37.69,21
47014,2019-08-11,2019-08-12,16.04,11.14,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97576552,1.88,81654,109.03,92.99
47015,2019-08-11,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710394336556,0.81,95828,80.67,63.98
47016,2019-08-11,2019-08-12,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97902332,1.06,33993,53.69,55.98
47018,2019-08-11,2019-08-12,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99071405,1.44,85254,32.85,19.98
47019,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,46725,48.89,49.99
47020,2019-08-11,2019-08-12,10.6,7.36,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96701220,3.13,35244,76.54,65.94
47021,2019-08-11,2019-08-12,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97916569,4,17033,94.84,81.97
47023,2019-08-11,2019-08-12,14.6,10.14,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94904452,1.56,37160,118.57,103.97
47025,2019-08-11,2019-08-12,34.17,23.73,UPS/UPS Ground,1Z1A1V710393093221,43,10030,334.16,299.99
47026,2019-08-11,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,87124,43.89,39.99
47027,2019-08-12,2019-08-12,12.87,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98866835,3.31,44117,231.85,218.98
47028,2019-08-11,2019-08-12,36.6,11.84,UPS/UPS Ground,1Z1A1V710399261038,13.5,29609,178.56,141.96
47029,2019-08-11,2019-08-12,54.36,37.75,UPS/UPS Ground,1Z1A1V710390285172,43.63,94590,438.35,383.99
47030,2019-08-12,2019-08-12,17.68,12.28,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99281394,7.25,98116,228.64,210.96
47031,2019-08-12,2019-08-12,15.62,10.85,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW91992354,2.19,8062,70.6,54.98
47033,2019-08-12,2019-08-12,12.41,8.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95361920,2,80231,154.38,141.97
47034,2019-08-12,2019-08-12,11.71,6.87,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN97052875,0.88,33311,64.8,58.99
47036,2019-08-12,2019-08-12,48.84,33.92,UPS/UPS Ground,1Z1A1V710397291143,43.44,89104,398.82,349.98
47037,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,66606,14.89,10.99
47038,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,46808,26.89,22.99
47039,2019-08-12,2019-08-12,16.1,11.18,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98067467,4.25,90039,114.04,97.94
47040,2019-08-12,2019-08-12,13.09,7.58,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN97434444,0.75,91801,43.06,29.97
47041,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,37421,26.89,22.99
47042,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,33615,28.9,25
47043,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,8021,45.9,42
47044,2019-08-12,2019-08-12,14.49,9.88,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW90750796,3.69,28763,114.45,99.96
47049,2019-08-12,2019-08-12,20.12,14.16,UPS/UPS Ground,1Z1A1V710397322083,5,98230,137.93,130.9
47045,2019-08-12,2019-08-12,21.83,15.16,UPS/UPS 3 Day Select,1Z1A1V711299384988,0.81,54016,94.81,72.98
47046,2019-08-12,2019-08-12,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710291750749,2.75,37211,211.65,188.94
47047,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,77530,11.89,7.99
47048,2019-08-12,2019-08-12,13.33,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99596152,3.75,33445,135.68,135.94
47050,2019-08-12,2019-08-12,6,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,20013,35.99,29.99
47051,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.25,77007,23.88,19.98
47052,2019-08-12,2019-08-12,34.17,23.73,UPS/UPS Ground,1Z1A1V710396730787,43,78704,334.16,299.99
47053,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,91766,26.89,22.99
47057,2019-08-12,2019-08-12,20.12,13.97,UPS/UPS Ground,1Z1A1V710393685065,5.13,97213,188.07,167.95
47058,2019-08-12,2019-08-12,54.33,25.65,UPS/UPS Ground,1Z1A1V710396416288,53.19,78664,775.16,720.83
47059,2019-08-12,2019-08-12,13.67,8.94,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW99071067,1.44,89129,164.87,168
47060,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.75,85204,53.88,49.98
47061,2019-08-12,2019-08-12,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW98230851,1.88,10011,103.86,91.92
47062,2019-08-12,2019-08-12,13.33,9.26,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94224204,4.75,60613,241.33,228
47063,2019-08-12,2019-08-12,13.77,9.2,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW94852973,3,80221,103.71,89.94
47065,2019-08-12,2019-08-12,16.69,11.59,UPS/UPS Ground,1Z1A1V710397682211,0.88,92806,66.66,49.97
47064,2019-08-12,2019-08-12,33.18,23.04,UPS/UPS 2nd Day Air,1Z1A1V710295230295,2.88,94928,192.15,158.97
47067,2019-08-12,2019-08-12,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96201056,1.88,98106,66.05,52.96
47068,2019-08-12,2019-08-12,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93877118,1.25,98119,197.09,184
47069,2019-08-12,2019-08-12,13.44,9.33,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97521208,3.94,75201,163.4,149.96
47070,2019-08-12,2019-08-12,11.61,8.06,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92840337,3.13,29406,196.54,184.93
47071,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,55120,63.88,59.98
47072,2019-08-12,2019-08-12,16.7,11.6,UPS/UPS Ground,1Z1A1V710396731008,1.5,79410,72.68,55.98
47073,2019-08-12,2019-08-12,12.12,8.42,UPS/UPS Ground,1Z1A1V710397519193,1.13,98366,94.11,81.99
47075,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,90602,36.86,32.96
47076,2019-08-12,2019-08-12,25.8,16.55,UPS/UPS 3 Day Select,1Z1A1V711296713341,1.81,89179,167.73,141.93
47116,2019-08-12,2019-08-12,34.36,9.28,UPS/UPS Ground,1Z1A1V710391949328,13.94,49424,182.33,147.97
47078,2019-08-12,2019-08-12,13.09,7.58,UPS/UPS SurePost Less than 1 lb,1Z1A1V71YN99760169,0.63,90723,53.57,44.98
47079,2019-08-12,2019-08-12,12.28,8.53,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96835729,2.5,48324,115.76,114.98
47080,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.69,33967,78.87,74.97
47081,2019-08-12,2019-08-12,21.83,15.16,UPS/UPS 3 Day Select,1Z1A1V711293816281,2.19,68502,164.79,142.96
47082,2019-08-12,2019-08-12,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710292909077,2.44,33617,137.89,127.98
47083,2019-08-12,2019-08-12,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.13,33881,14.89,10.99
47084,2019-08-12,2019-08-12,25.65,12.24,UPS/UPS Ground,1Z1A1V710399745908,3.63,2130,114.75,99
47085,2019-08-12,2019-08-12,12.77,8.87,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW92590643,2.25,11221,143.73,130.96
47086,2019-08-12,2019-08-12,28.87,20.05,UPS/UPS Ground,1Z1A1V710396590045,43,21225,298.86,299.99
